State,County,Population,"Population Speaking Spanish at Home
(Age 5+)",Hispanic/Latino,White Alone,Black/African American Alone,American Indian/Alaskan Native Alone,Asian Alone,Native Hawaiian/Pacific Islander Alone,Some Other Race Alone,Two or More Races,"Household Income
<$25k","Household Income
$25k-$50k","Household Income
$50k-$75k","Household Income
$75k-$100k","Household Income
$100k-$150k","Household Income
$150k-$250k","Household Income
$250k+",Median Household Income,No High School Degree,High School Degree,Some College,Undergraduate Degree,Post-Graduate Degree
Missouri,Clark County,"6,777",0.9%,1.1%,96.9%,0.4%,0.2%,0.5%,0.0%,0.1%,1.8%,22.2%,25.9%,20.6%,12.5%,12.6%,5.1%,1.2%,"$52,376",14.7%,44.1%,18.6%,17.7%,4.9%
Missouri,Crawford County,"23,747",4.9%,2.3%,95.9%,0.6%,0.7%,0.3%,0.1%,0.8%,1.7%,28.4%,28.2%,17.8%,10.5%,9.7%,4.8%,0.6%,"$43,564",22.6%,39.5%,20.6%,13.6%,3.7%
Missouri,Dallas County,"16,989",1.0%,2.5%,95.4%,0.4%,0.9%,0.3%,0.1%,0.7%,2.2%,26.8%,27.7%,18.1%,12.5%,9.9%,2.1%,2.8%,"$46,058",17.7%,42.3%,21.6%,12.9%,5.5%
Missouri,Dent County,"15,568",2.9%,2.2%,95.0%,0.6%,1.1%,0.9%,0.1%,0.4%,1.9%,30.2%,27.3%,15.7%,11.5%,11.5%,2.0%,1.8%,"$43,012",18.7%,40.6%,18.6%,16.6%,5.5%
Missouri,Douglas County,"13,078",2.7%,2.2%,95.3%,0.5%,0.9%,0.4%,0.0%,0.3%,2.7%,30.2%,30.3%,16.8%,9.0%,9.2%,3.5%,1.0%,"$38,561",18.4%,44.7%,19.5%,13.6%,3.8%
Missouri,Dunklin County,"28,505",6.4%,7.7%,82.0%,10.4%,0.4%,0.7%,0.0%,4.3%,2.2%,36.0%,26.2%,16.6%,8.5%,8.6%,2.6%,1.4%,"$37,595",24.0%,37.6%,18.4%,15.5%,4.4%
Missouri,Grundy County,"9,738",4.7%,3.0%,94.3%,1.1%,0.6%,1.1%,0.1%,1.1%,1.8%,27.1%,25.5%,16.0%,13.7%,12.8%,4.0%,0.9%,"$47,379",11.8%,40.0%,18.7%,21.9%,7.6%
Missouri,Holt County,"4,358",2.0%,1.6%,96.1%,0.4%,1.2%,0.4%,0.0%,0.5%,1.5%,23.9%,26.9%,20.0%,12.7%,11.6%,4.1%,0.8%,"$49,196",8.9%,44.0%,22.1%,18.8%,6.2%
Missouri,Iron County,"10,057",1.7%,2.0%,95.0%,1.6%,0.8%,0.2%,0.0%,0.4%,2.0%,27.5%,29.3%,19.6%,10.9%,8.7%,3.5%,0.5%,"$43,777",18.8%,42.5%,20.5%,14.8%,3.3%
Missouri,Laclede County,"35,795",2.8%,2.8%,94.6%,0.9%,0.7%,0.7%,0.1%,0.7%,2.3%,22.6%,25.4%,20.5%,14.8%,11.8%,4.1%,0.9%,"$52,467",16.2%,39.2%,21.2%,19.3%,4.1%
Missouri,Lafayette County,"32,712",2.7%,3.2%,93.3%,2.1%,0.6%,0.6%,0.2%,1.0%,2.3%,18.2%,21.6%,18.4%,14.3%,18.1%,7.6%,2.0%,"$63,946",9.2%,43.2%,20.4%,19.8%,7.3%
Missouri,Lewis County,"9,673",1.3%,2.0%,93.2%,3.0%,0.5%,0.5%,0.1%,0.6%,2.1%,22.4%,27.1%,20.4%,11.9%,12.2%,5.1%,1.0%,"$50,682",12.8%,45.9%,20.1%,15.4%,5.7%
Missouri,Linn County,"11,780",3.4%,3.0%,95.6%,0.9%,0.3%,0.3%,0.1%,0.8%,1.9%,22.4%,29.1%,18.1%,12.4%,12.3%,4.4%,1.3%,"$48,686",10.8%,46.2%,18.8%,19.0%,5.2%
Missouri,Madison County,"12,020",4.1%,2.7%,94.8%,0.7%,0.6%,0.9%,0.0%,1.4%,1.6%,27.2%,26.4%,19.8%,11.4%,10.6%,4.0%,0.8%,"$46,023",17.5%,34.5%,23.5%,19.4%,5.1%
Missouri,Maries County,"8,610",1.0%,1.5%,95.5%,0.8%,0.8%,0.5%,0.0%,0.4%,2.0%,23.2%,28.1%,17.4%,13.3%,12.4%,3.3%,2.2%,"$48,585",13.2%,40.5%,20.9%,21.3%,4.0%
Missouri,Miller County,"25,863",2.4%,2.3%,95.3%,0.7%,0.6%,0.5%,0.2%,0.6%,2.0%,25.2%,29.2%,16.6%,11.6%,11.2%,4.2%,2.0%,"$46,227",13.2%,43.3%,19.8%,17.5%,6.2%
Missouri,Moniteau County,"16,190",5.0%,5.3%,90.9%,4.0%,0.3%,0.4%,0.1%,2.6%,1.6%,16.9%,25.0%,18.6%,15.0%,16.7%,6.5%,1.4%,"$61,023",15.4%,42.6%,18.0%,19.2%,4.8%
Missouri,Montgomery County,"11,525",2.7%,2.3%,94.3%,1.7%,0.3%,0.6%,0.0%,1.1%,2.0%,22.2%,26.5%,22.1%,12.0%,12.1%,4.2%,0.9%,"$51,461",15.6%,44.9%,18.6%,16.1%,4.9%
Missouri,Morgan County,"20,795",2.9%,2.7%,94.9%,0.9%,0.8%,0.5%,0.0%,0.6%,2.1%,28.1%,27.3%,16.8%,11.9%,10.9%,3.8%,1.3%,"$44,796",20.3%,40.3%,19.4%,15.3%,4.8%
Missouri,Newton County,"58,218",4.8%,6.2%,87.1%,1.0%,2.4%,1.5%,0.9%,3.3%,3.8%,17.5%,27.3%,19.0%,13.4%,13.9%,6.6%,2.3%,"$56,796",13.1%,34.5%,24.1%,21.8%,6.5%
Missouri,Nodaway County,"21,847",3.3%,2.0%,93.3%,3.1%,0.4%,1.4%,0.0%,0.5%,1.3%,24.8%,27.8%,16.0%,12.7%,12.5%,4.7%,1.4%,"$47,587",7.4%,38.7%,20.9%,20.5%,12.5%
Missouri,Oregon County,"10,444",1.3%,2.1%,94.8%,0.5%,1.6%,0.3%,0.0%,0.1%,2.6%,38.0%,30.0%,15.5%,7.3%,6.8%,2.4%,0.1%,"$34,319",17.8%,40.4%,21.5%,16.6%,3.8%
Missouri,Pettis County,"42,313",7.2%,9.7%,87.0%,3.1%,0.5%,0.9%,0.4%,5.4%,2.9%,22.2%,28.3%,19.7%,12.2%,11.6%,4.6%,1.4%,"$49,524",14.6%,34.6%,22.9%,21.1%,6.8%
Missouri,Pike County,"18,189",5.1%,2.6%,88.6%,7.9%,0.2%,0.3%,0.0%,1.0%,1.8%,19.7%,29.6%,18.6%,12.2%,13.7%,4.7%,1.4%,"$50,849",15.7%,45.4%,17.9%,16.9%,4.1%
Missouri,Polk County,"32,361",3.0%,2.9%,94.6%,1.0%,0.7%,0.9%,0.1%,0.8%,1.9%,20.2%,29.1%,20.1%,11.6%,12.0%,4.8%,2.2%,"$50,935",12.3%,37.2%,22.7%,19.8%,8.0%
Missouri,Pulaski County,"52,626",8.0%,12.3%,74.8%,11.9%,1.1%,3.1%,0.6%,3.1%,5.4%,18.0%,26.3%,23.2%,12.9%,14.1%,4.9%,0.6%,"$56,159",8.4%,27.7%,26.7%,27.7%,9.5%
Missouri,Putnam County,"4,638",10.7%,2.8%,96.9%,0.2%,0.2%,0.7%,0.0%,0.6%,1.4%,27.2%,30.5%,18.7%,10.6%,7.7%,3.8%,1.4%,"$42,140",10.6%,41.1%,18.7%,23.2%,6.4%
Missouri,Ralls County,"10,342",1.2%,1.5%,95.8%,1.5%,0.3%,0.2%,0.1%,0.3%,1.7%,17.6%,23.1%,20.2%,16.4%,15.4%,6.4%,0.9%,"$61,536",11.2%,49.0%,18.9%,15.9%,4.9%
Missouri,Randolph County,"24,650",4.2%,2.5%,89.9%,5.4%,0.5%,0.8%,0.0%,0.4%,2.9%,24.7%,23.7%,17.3%,13.9%,14.3%,4.8%,1.4%,"$52,403",13.4%,35.4%,23.8%,21.7%,5.6%
Missouri,Saline County,"22,600",8.9%,11.3%,82.7%,5.2%,0.6%,0.8%,1.2%,6.3%,3.1%,22.8%,30.4%,20.2%,11.3%,10.2%,3.9%,1.1%,"$47,119",15.6%,39.5%,21.9%,16.4%,6.5%
Missouri,Scotland County,"4,899",5.7%,1.2%,97.7%,0.1%,0.3%,0.2%,0.0%,0.6%,1.0%,28.8%,24.8%,19.5%,11.4%,6.4%,6.7%,2.4%,"$46,317",22.2%,39.3%,19.3%,16.0%,3.2%
Missouri,Scott County,"38,036",2.0%,2.8%,83.7%,12.2%,0.4%,0.4%,0.0%,1.0%,2.2%,28.1%,27.5%,18.6%,10.5%,10.4%,3.2%,1.7%,"$44,994",15.1%,42.2%,21.7%,15.4%,5.5%
Missouri,St. Clair County,"9,381",4.3%,2.5%,95.2%,0.7%,0.9%,0.3%,0.0%,0.4%,2.4%,28.3%,27.3%,18.7%,10.2%,12.1%,2.7%,0.6%,"$44,503",15.7%,42.6%,21.1%,15.8%,4.9%
Missouri,Sullivan County,"5,970",17.5%,18.2%,84.5%,4.2%,0.8%,0.4%,0.2%,8.5%,1.5%,23.8%,28.6%,20.5%,12.6%,10.3%,3.9%,0.4%,"$47,670",15.0%,49.7%,16.6%,13.8%,5.0%
Missouri,Washington County,"24,605",2.9%,1.7%,94.7%,2.5%,0.5%,0.3%,0.0%,0.2%,1.8%,28.1%,28.6%,18.2%,11.7%,9.0%,3.5%,0.9%,"$43,882",22.9%,39.0%,20.7%,13.9%,3.4%
Missouri,Wright County,"18,295",5.5%,2.3%,96.1%,0.6%,0.7%,0.4%,0.1%,0.3%,1.8%,35.1%,30.3%,16.2%,7.9%,6.4%,1.4%,2.7%,"$35,432",18.8%,44.4%,18.9%,13.6%,4.3%
Montana,Flathead County,"106,417",2.4%,3.2%,94.2%,0.3%,1.3%,0.9%,0.1%,0.6%,2.6%,16.5%,24.7%,20.0%,12.8%,13.3%,8.8%,3.9%,"$60,975",5.6%,29.3%,23.7%,31.1%,10.3%
Montana,Gallatin County,"118,976",4.7%,4.6%,93.2%,0.5%,1.0%,1.7%,0.1%,1.1%,2.5%,14.5%,19.3%,17.5%,15.1%,18.0%,10.2%,5.4%,"$73,250",3.4%,17.5%,23.0%,38.5%,17.7%
Montana,Glacier County,"13,755",0.4%,3.6%,31.0%,0.3%,64.6%,0.5%,0.0%,0.3%,3.3%,41.2%,25.6%,11.0%,6.9%,8.2%,5.1%,2.0%,"$33,309",11.1%,41.0%,19.7%,21.5%,6.7%
Montana,Hill County,"16,514",1.5%,4.2%,69.6%,0.5%,24.8%,0.5%,0.1%,0.5%,4.0%,24.8%,24.0%,19.5%,11.9%,13.5%,5.0%,1.4%,"$51,564",10.1%,29.3%,23.6%,30.6%,6.3%
Montana,Lake County,"30,761",2.2%,5.1%,66.0%,0.6%,24.5%,0.5%,0.1%,0.8%,7.5%,24.4%,25.0%,18.0%,11.2%,13.1%,5.2%,3.0%,"$50,740",8.7%,29.3%,25.4%,26.9%,9.7%
Montana,Lewis and Clark County,"70,508",3.6%,3.8%,93.0%,0.5%,2.1%,0.8%,0.1%,0.7%,2.9%,15.3%,18.8%,18.5%,15.0%,18.8%,11.8%,1.9%,"$71,462",4.8%,21.9%,23.5%,33.8%,16.0%
Montana,Missoula County,"121,282",3.8%,3.7%,90.7%,0.5%,2.6%,2.1%,0.1%,0.6%,3.5%,18.3%,20.6%,20.7%,12.2%,15.4%,9.4%,3.5%,"$63,407",4.7%,20.0%,24.4%,34.7%,16.2%
Montana,Park County,"16,773",1.9%,3.7%,94.5%,0.4%,1.2%,0.4%,0.0%,0.8%,2.7%,16.6%,28.9%,15.6%,13.8%,14.8%,7.6%,2.7%,"$57,066",4.6%,31.1%,25.0%,29.0%,10.3%
Montana,Roosevelt County,"10,959",2.0%,5.2%,33.7%,0.4%,60.1%,0.6%,0.0%,0.8%,4.3%,31.0%,22.2%,14.2%,11.1%,13.0%,7.5%,1.1%,"$45,670",13.1%,34.2%,26.7%,21.1%,4.9%
Montana,Sanders County,"12,352",2.5%,3.7%,91.7%,0.3%,3.9%,0.5%,0.0%,0.6%,2.9%,28.8%,30.8%,17.3%,9.9%,7.8%,3.3%,2.2%,"$41,669",10.6%,42.3%,22.1%,21.1%,3.9%
Nebraska,Adams County,"31,259",7.4%,12.0%,88.9%,1.2%,0.7%,1.2%,0.1%,6.0%,1.9%,20.0%,25.3%,17.9%,13.1%,15.1%,6.0%,2.8%,"$56,673",9.9%,28.0%,24.9%,27.8%,9.5%
Nebraska,Box Butte County,"10,673",9.0%,13.8%,86.6%,1.1%,3.5%,0.9%,0.0%,4.5%,3.4%,18.8%,25.7%,18.8%,14.8%,15.4%,5.2%,1.3%,"$57,355",8.0%,33.6%,30.5%,23.4%,4.4%
Nebraska,Cherry County,"5,646",1.6%,3.5%,88.6%,0.5%,5.9%,0.6%,0.0%,0.9%,3.5%,19.8%,29.2%,27.6%,12.2%,7.1%,2.1%,1.9%,"$50,936",8.6%,32.9%,28.8%,23.7%,5.9%
Nebraska,Cheyenne County,"8,567",4.6%,7.5%,92.6%,0.6%,0.9%,1.1%,0.1%,2.7%,2.2%,19.9%,23.4%,20.7%,15.4%,12.0%,5.8%,3.0%,"$58,205",6.6%,28.2%,27.0%,32.0%,6.2%
Nebraska,Colfax County,"10,720",40.0%,49.8%,62.2%,5.1%,1.3%,0.7%,0.1%,28.0%,2.7%,16.9%,27.4%,22.5%,17.9%,10.8%,3.6%,1.0%,"$56,426",29.4%,29.9%,16.4%,19.4%,5.0%
Nebraska,Deuel County,"1,757",5.3%,8.5%,93.4%,0.3%,1.4%,0.4%,0.0%,2.2%,2.3%,22.0%,30.0%,23.3%,10.6%,8.6%,3.3%,2.1%,"$48,204",10.3%,33.4%,30.4%,22.1%,3.9%
Nebraska,Dixon County,"5,573",13.3%,16.7%,87.8%,0.5%,0.6%,0.2%,0.1%,9.0%,1.7%,17.1%,25.3%,22.4%,15.0%,13.6%,4.9%,1.7%,"$58,574",11.0%,36.3%,20.5%,26.1%,6.1%
Nebraska,Lincoln County,"34,647",5.0%,9.4%,91.7%,1.3%,0.7%,1.1%,0.1%,3.1%,2.0%,19.8%,23.1%,19.0%,13.7%,16.3%,6.3%,1.9%,"$59,374",6.7%,29.9%,27.3%,28.3%,7.8%
Nebraska,Sheridan County,"5,245",6.2%,6.1%,83.2%,0.5%,10.1%,0.6%,0.2%,0.9%,4.7%,27.0%,29.8%,18.5%,8.7%,9.7%,5.4%,0.9%,"$44,325",9.4%,34.3%,23.2%,25.9%,7.3%
Nevada,Carson City,"56,468",19.0%,26.0%,77.5%,2.0%,2.5%,2.5%,0.3%,11.5%,3.8%,18.0%,24.3%,18.9%,12.5%,15.5%,7.5%,3.2%,"$60,117",12.6%,27.5%,27.6%,24.4%,8.0%
Nevada,Eureka County,"2,013",8.9%,14.4%,85.3%,1.0%,3.0%,1.1%,0.0%,6.1%,3.5%,21.0%,8.2%,14.0%,20.5%,21.5%,11.3%,3.5%,"$83,263",6.6%,39.0%,32.7%,21.0%,0.7%
Nevada,Lander County,"5,790",19.7%,23.6%,79.1%,0.9%,5.3%,1.7%,0.0%,9.6%,3.4%,15.3%,11.8%,11.0%,10.6%,33.8%,14.6%,3.0%,"$101,925",14.8%,38.8%,21.4%,18.4%,6.7%
Nevada,Storey County,"4,199",6.2%,8.5%,88.4%,1.7%,1.9%,2.6%,0.5%,1.6%,3.2%,10.8%,18.9%,22.9%,16.5%,13.2%,13.7%,4.0%,"$72,061",5.1%,29.9%,30.5%,26.2%,8.3%
Nevada,Washoe County,"478,282",18.9%,26.1%,73.7%,2.5%,1.7%,5.6%,0.6%,11.1%,4.7%,14.1%,20.0%,19.0%,13.2%,17.2%,11.4%,5.1%,"$70,987",10.5%,24.2%,25.8%,27.9%,11.6%
New Hampshire,Belknap County,"61,758",2.8%,2.0%,95.9%,0.6%,0.3%,1.1%,0.0%,0.3%,1.7%,13.9%,18.9%,16.2%,13.8%,19.7%,12.8%,4.7%,"$76,736",7.4%,28.5%,21.4%,30.0%,12.7%
New Hampshire,Carroll County,"49,188",2.0%,1.9%,96.5%,0.7%,0.4%,0.7%,0.0%,0.3%,1.4%,15.1%,20.7%,18.8%,14.2%,17.8%,8.9%,4.4%,"$68,792",6.2%,29.9%,19.9%,31.4%,12.6%
New Hampshire,Cheshire County,"76,711",2.7%,2.2%,94.7%,0.8%,0.3%,1.9%,0.0%,0.5%,1.7%,19.1%,20.7%,19.0%,12.2%,17.0%,8.2%,3.8%,"$63,422",7.3%,32.1%,18.5%,30.1%,12.0%
New Hampshire,Merrimack County,"151,943",2.3%,2.6%,93.1%,1.6%,0.3%,2.6%,0.0%,0.5%,1.9%,13.4%,17.8%,16.2%,14.8%,20.1%,12.0%,5.6%,"$79,352",6.4%,29.4%,17.8%,30.4%,16.0%
New Hampshire,Rockingham County,"312,188",3.3%,3.7%,93.8%,0.9%,0.2%,2.3%,0.0%,0.9%,1.8%,10.4%,13.9%,13.7%,12.2%,21.2%,18.8%,9.7%,"$99,558",5.3%,24.9%,18.5%,36.1%,15.3%
New Hampshire,Strafford County,"130,898",2.3%,3.0%,91.4%,1.3%,0.3%,4.0%,0.0%,0.7%,2.3%,13.7%,17.0%,16.4%,14.8%,19.6%,13.1%,5.3%,"$79,810",7.2%,28.8%,18.1%,33.2%,12.8%
New Hampshire,Sullivan County,"43,483",2.4%,2.0%,95.4%,0.8%,0.4%,1.2%,0.0%,0.4%,1.9%,16.3%,20.8%,18.7%,15.5%,16.7%,9.1%,2.7%,"$67,171",8.9%,37.2%,17.5%,26.5%,9.9%
New Jersey,Salem County,"61,810",7.7%,10.6%,77.5%,14.1%,0.4%,1.0%,0.0%,4.0%,2.9%,20.8%,19.8%,16.3%,12.3%,17.6%,9.5%,3.7%,"$64,349",9.2%,40.5%,17.6%,26.9%,5.9%
New Mexico,Colfax County,"11,705",27.4%,50.8%,81.3%,0.8%,1.9%,0.8%,0.1%,11.0%,4.0%,35.9%,25.4%,14.4%,10.0%,10.7%,3.2%,0.5%,"$35,970",10.8%,32.7%,27.5%,20.9%,8.1%
New Mexico,Guadalupe County,"4,245",64.7%,80.5%,69.6%,1.7%,2.4%,1.0%,0.0%,21.6%,3.6%,53.1%,24.0%,5.8%,9.4%,5.9%,1.5%,0.3%,"$23,988",20.0%,41.8%,21.1%,13.5%,3.6%
New Mexico,Hidalgo County,"4,101",43.5%,59.1%,83.4%,1.4%,1.0%,0.5%,0.0%,11.4%,2.2%,39.3%,18.4%,21.1%,10.0%,9.1%,1.6%,0.6%,"$37,265",20.9%,33.5%,22.5%,18.1%,5.0%
New Mexico,Los Alamos County,"19,775",9.0%,19.7%,84.8%,1.7%,1.1%,6.5%,0.1%,2.9%,2.9%,8.2%,7.7%,10.2%,12.4%,23.2%,24.3%,13.9%,"$122,670",2.2%,9.9%,13.3%,35.7%,38.9%
New Mexico,McKinley County,"70,845",6.4%,15.1%,13.3%,0.5%,76.2%,1.0%,0.0%,5.6%,3.3%,38.4%,24.2%,16.2%,7.8%,9.0%,2.9%,1.4%,"$34,741",22.6%,34.3%,24.7%,12.7%,5.8%
New Mexico,Quay County,"8,170",29.9%,47.8%,83.2%,2.0%,1.6%,1.1%,0.1%,8.1%,3.9%,40.4%,31.9%,10.3%,4.0%,7.6%,5.7%,0.2%,"$29,782",17.0%,39.9%,20.2%,15.6%,7.3%
New Mexico,Santa Fe County,"151,093",32.9%,52.1%,74.8%,1.0%,3.3%,1.5%,0.1%,15.5%,3.9%,16.6%,22.8%,18.2%,12.6%,15.3%,9.1%,5.4%,"$64,473",11.1%,24.5%,18.4%,25.9%,20.1%
New Mexico,Taos County,"32,670",45.9%,58.3%,67.8%,0.6%,5.7%,0.9%,0.0%,19.9%,5.1%,31.4%,28.8%,14.6%,8.6%,8.2%,6.8%,1.6%,"$40,737",10.9%,26.2%,28.2%,22.9%,11.8%
New Mexico,Valencia County,"76,912",35.2%,62.9%,69.9%,1.3%,5.2%,0.7%,0.1%,18.4%,4.5%,26.3%,25.3%,18.6%,12.0%,11.0%,6.3%,0.6%,"$48,289",16.8%,31.6%,23.7%,18.8%,9.1%
New York,Essex County,"36,425",3.9%,3.3%,93.4%,2.5%,0.4%,0.8%,0.1%,1.0%,1.7%,17.4%,21.8%,19.2%,14.0%,16.6%,8.8%,2.3%,"$64,110",8.8%,32.9%,19.3%,27.2%,11.8%
New York,Genesee County,"56,824",3.4%,3.8%,91.6%,3.1%,1.1%,0.7%,0.0%,1.3%,2.3%,17.1%,20.9%,17.6%,15.1%,18.0%,9.1%,2.2%,"$67,032",7.9%,36.6%,19.3%,27.3%,8.9%
New York,Livingston County,"62,439",3.4%,4.1%,92.5%,2.8%,0.3%,1.3%,0.0%,1.1%,1.9%,18.4%,20.0%,18.6%,15.2%,18.2%,8.0%,1.6%,"$65,573",9.0%,32.5%,19.5%,26.5%,12.5%
New York,Madison County,"70,621",3.9%,2.6%,94.2%,1.8%,0.7%,0.9%,0.0%,0.5%,1.9%,16.5%,21.1%,19.8%,14.1%,17.2%,8.5%,2.8%,"$65,741",8.4%,32.5%,17.2%,29.1%,12.9%
New York,Queens County,"2,242,945",24.4%,28.8%,36.2%,18.4%,0.7%,26.0%,0.1%,13.4%,5.2%,15.7%,18.4%,15.3%,12.8%,17.9%,13.8%,6.0%,"$75,973",17.8%,27.5%,14.3%,28.4%,12.1%
New York,Tioga County,"47,761",3.2%,2.5%,95.7%,1.0%,0.3%,0.8%,0.0%,0.5%,1.7%,17.6%,20.5%,17.0%,13.8%,18.6%,9.6%,3.0%,"$67,661",9.2%,36.2%,18.1%,27.1%,9.5%
New York,Tompkins County,"101,898",4.6%,5.9%,79.0%,4.3%,0.4%,10.9%,0.0%,1.5%,3.7%,20.6%,20.8%,16.9%,12.3%,14.4%,9.4%,5.7%,"$62,770",6.3%,19.5%,13.0%,30.8%,30.4%
New York,Yates County,"24,821",3.6%,2.7%,95.8%,0.9%,0.3%,0.9%,0.0%,0.5%,1.4%,19.3%,22.8%,17.6%,12.9%,16.4%,8.4%,2.6%,"$61,181",13.8%,34.1%,17.0%,24.7%,10.5%
North Carolina,Alamance County,"172,699",12.3%,13.8%,66.5%,20.5%,0.8%,1.8%,0.0%,7.7%,2.7%,20.6%,26.6%,16.9%,11.4%,15.2%,7.4%,1.9%,"$54,146",12.7%,28.3%,23.6%,28.3%,7.1%
North Carolina,Alleghany County,"11,307",7.9%,10.5%,90.0%,1.7%,0.4%,0.6%,0.1%,5.4%,1.9%,30.6%,30.4%,16.7%,9.9%,9.0%,2.3%,1.1%,"$39,784",23.2%,29.6%,22.0%,19.1%,6.2%
North Carolina,Anson County,"24,404",6.5%,4.9%,45.7%,48.3%,0.8%,1.5%,0.0%,2.1%,1.6%,28.8%,26.6%,17.7%,9.7%,11.5%,4.8%,0.8%,"$44,028",19.2%,41.5%,20.9%,16.1%,2.4%
North Carolina,Avery County,"17,762",6.5%,5.6%,90.0%,4.5%,0.5%,0.5%,0.1%,3.0%,1.3%,30.5%,29.0%,16.9%,9.7%,8.5%,3.1%,2.3%,"$41,393",17.5%,29.9%,24.0%,20.2%,8.3%
North Carolina,Cleveland County,"98,799",3.9%,4.1%,74.2%,20.7%,0.3%,1.0%,0.0%,1.6%,2.2%,28.7%,27.6%,14.9%,11.9%,11.8%,3.9%,1.1%,"$44,421",15.6%,33.0%,22.3%,22.1%,7.0%
North Carolina,Columbus County,"55,472",6.0%,5.9%,60.1%,30.1%,3.3%,0.5%,0.1%,3.8%,2.1%,32.6%,26.4%,16.5%,9.0%,9.9%,4.1%,1.4%,"$40,680",18.3%,34.8%,24.4%,18.4%,4.0%
North Carolina,Davie County,"43,342",6.7%,7.5%,85.8%,6.3%,0.4%,0.7%,0.0%,4.4%,2.3%,16.0%,24.3%,16.9%,14.3%,16.1%,8.2%,4.3%,"$64,467",13.2%,31.5%,22.1%,24.6%,8.6%
North Carolina,Haywood County,"63,420",3.5%,4.4%,94.2%,1.3%,0.6%,0.6%,0.1%,1.9%,1.4%,22.1%,23.7%,18.0%,13.0%,13.9%,6.5%,2.9%,"$55,886",11.8%,26.6%,23.3%,28.4%,9.9%
North Carolina,Lenoir County,"55,720",8.7%,8.1%,50.9%,41.2%,0.4%,0.7%,0.1%,4.7%,1.9%,29.2%,26.7%,17.8%,10.7%,10.3%,4.0%,1.2%,"$44,305",19.3%,32.3%,22.5%,21.4%,4.6%
North Carolina,Macon County,"36,576",4.6%,7.6%,92.4%,1.4%,0.7%,1.1%,0.0%,3.1%,1.4%,22.8%,27.8%,17.7%,11.3%,13.3%,3.9%,3.1%,"$49,441",11.2%,30.7%,24.6%,25.7%,7.9%
North Carolina,Mitchell County,"15,005",5.2%,6.5%,92.7%,0.5%,0.6%,0.7%,0.0%,4.1%,1.3%,26.4%,23.8%,20.1%,13.5%,11.5%,3.9%,0.7%,"$49,806",15.3%,33.7%,22.2%,22.5%,6.3%
North Carolina,Northampton County,"19,526",4.5%,2.7%,39.3%,56.7%,0.6%,0.3%,0.0%,1.5%,1.6%,31.5%,28.1%,15.5%,10.6%,10.7%,2.6%,0.8%,"$41,673",20.4%,39.8%,17.4%,17.2%,5.2%
North Carolina,Polk County,"21,164",7.1%,6.4%,90.0%,4.1%,0.6%,0.6%,0.0%,3.0%,1.6%,18.1%,28.8%,20.1%,11.9%,11.0%,7.3%,3.0%,"$53,947",9.0%,26.1%,23.2%,29.1%,12.7%
North Carolina,Rowan County,"143,163",7.9%,9.9%,74.4%,16.3%,0.4%,1.2%,0.0%,5.6%,2.2%,22.5%,27.1%,16.9%,13.6%,12.2%,6.3%,1.5%,"$50,591",14.4%,33.5%,22.6%,24.1%,5.3%
North Carolina,Watauga County,"57,607",3.2%,4.0%,93.4%,1.7%,0.3%,1.2%,0.0%,1.4%,1.9%,28.4%,20.4%,16.2%,11.1%,13.1%,7.6%,3.2%,"$51,790",10.4%,20.4%,19.2%,32.5%,17.5%
North Carolina,Yancey County,"18,383",4.7%,5.9%,93.7%,1.0%,0.7%,0.3%,0.0%,3.0%,1.2%,26.9%,26.9%,18.0%,11.4%,11.4%,4.2%,1.3%,"$46,642",15.7%,32.7%,21.8%,22.1%,7.7%
North Dakota,Burleigh County,"96,735",4.7%,3.2%,89.1%,2.8%,4.2%,0.9%,0.1%,0.6%,2.2%,13.8%,19.3%,18.1%,13.9%,20.5%,10.7%,3.7%,"$73,296",5.0%,23.0%,20.4%,42.5%,9.0%
North Dakota,Cass County,"185,741",3.0%,3.1%,84.1%,7.2%,1.4%,4.0%,0.0%,0.8%,2.4%,16.5%,20.1%,18.3%,13.7%,16.2%,9.4%,5.7%,"$68,227",5.7%,18.9%,19.9%,43.9%,11.5%
North Dakota,Grand Forks County,"69,081",4.6%,5.0%,83.8%,5.5%,2.7%,3.4%,0.1%,1.4%,3.1%,22.8%,23.0%,17.4%,11.7%,15.1%,7.4%,2.5%,"$55,937",5.7%,23.0%,24.7%,36.5%,10.2%
North Dakota,Stark County,"32,196",6.3%,6.9%,88.2%,4.0%,1.6%,1.7%,0.1%,1.7%,2.7%,15.4%,17.9%,17.0%,15.8%,19.9%,9.8%,4.2%,"$74,610",8.2%,32.9%,23.6%,29.0%,6.3%
Ohio,Athens County,"65,157",3.0%,2.2%,90.0%,2.8%,0.3%,3.7%,0.0%,0.5%,2.6%,31.8%,24.8%,13.1%,10.5%,12.8%,5.7%,1.3%,"$42,936",9.2%,37.7%,17.2%,20.7%,15.1%
Ohio,Auglaize County,"45,586",3.0%,2.1%,96.5%,0.7%,0.2%,0.7%,0.1%,0.6%,1.3%,14.3%,21.2%,17.8%,15.3%,20.0%,9.2%,2.2%,"$70,385",6.7%,43.7%,19.5%,23.1%,7.0%
Ohio,Belmont County,"66,292",3.1%,1.2%,93.0%,4.3%,0.2%,0.5%,0.0%,0.2%,1.8%,21.8%,25.3%,18.3%,15.5%,12.9%,4.5%,1.7%,"$53,923",8.9%,42.5%,19.0%,24.0%,5.6%
